"Loaded %d records"," %d kayıt yüklendi"
"--------------- v 1.3 2009-04-01 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"The attribute code '%s' is reserved by system. Please, try another attribute code.","'%s' özellik kodu sistem tarafından ayrılmış. Lütfen başka bir kod kullanınız."
"--------------- v 1.3 2009-04-01 SONU --------------------","////////////////////////////////////////////////////////////////////////""--------------- v 1.3 2009-08-05 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Ürün Listesi Sıralama Seçenekleri arasında Varsayılan Ürün Sıralama Tipi belirtilmemiş"
"--------------- v 1.3 2009-08-05 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.3 2009-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"Add Option","Özellik Ekle"
"Attribute Code","Seçenek Kodu"
"Attribute Label","Özellik Adı"
"Attribute Properties","Özellik Ayarları"
"Catalog Input Type for Store Owner","Mağaza Sahibi için Giriş Tipi"
"Date","Tarih"
"Decimal Number","Ondalıklı Sayı"
"Default value","Varsayılan değer"
"Delete","Sil"
"Dropdown","Açılır Menü"
"Email","Email"
"For internal use. Must be unique with no spaces","İç kullanım içindir. Eşsiz olmalı ve boşluk içermemelidir"
"Form Element with the same attribute","Aynı özellikle Form Elemanı"
"Form Fieldset with the same code","Aynı kodla Form Fieldset"
"Form Type with the same code","Aynı kodla Form Tipi"
"Input Validation for Store Owner","Yöneticiler için Veri Giriş Kontrolü"
"Integer Number","Tamsayı"
"Invalid EAV attribute","Hatalı EAV özelliği"
"Invalid form type","Hatalı form tipi"
"Letters","Harf"
"Letters(a-zA-Z) or Numbers(0-9)","Harf(a-zA-Z) veya Rakam(0-9)"
"Multiple Select","Çoklu seçme"
"None","Yok"
"Not shared with other products","Diğer ürünlerle paylaşılmasın"
"Required","Zorunlu"
"System","Sistem"
"Text Area","Yazı Kutusu ( Büyük )"
"Text Field","Yazı Kutusu"
"Unique Value","Eşsiz Değer"
"Unique Value (not shared with other products)","Eşsiz Değer (diğer ürünlerle paylaşılmasın)"
"Url","Adres"
"Values Required","Girilmesi zorunlu değerler"
"Yes/No","Evet/Hayır"
"--------------- v 1.3 2009-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
"--------------- v 1.4.2.0 2010-12-09 BASI --------------------","////////////////////////////////////////////////////////////////////////"
"A joint field with this alias (%s) is already declared.","A joint field with this alias (%s) is already declared."
"An error occurred while loading a record, aborting. Error: %s","An error occurred while loading a record, aborting. Error: %s"
"An error occurred while loading the collection, aborting. Error: %s","An error occurred while loading the collection, aborting. Error: %s"
"An error occurred while saving a record, aborting. Error: ","An error occurred while saving a record, aborting. Error: "
"Attempt to add an invalid object.","Attempt to add an invalid object."
"Attribute set with the ""%s"" name already exists.","Attribute set with the ""%s"" name already exists."
"Data integrity: No header row found for attribute.","Data integrity: No header row found for attribute."
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Default Product Listing Sort by not exists on Available Product Listing Sort By"
"Default Value","Default Value"
"Default option value is not defined.","Default option value is not defined."
"Entity collection expected.","Entity collection expected."
"Entity collections expected.","Entity collections expected."
"Entity is not initialized.","Entity is not initialized."
"Frontend label is not defined.","Frontend label is not defined."
"Invalid EAV attribute.","Invalid EAV attribute."
"Invalid alias, already exists in joint attributes.","Invalid alias, already exists in joint attributes."
"Invalid attribute name: %s.","Invalid attribute name: %s."
"Invalid attribute type.","Invalid attribute type."
"Invalid entity supplied.","Invalid entity supplied."
"Invalid entity supplied: %s.","Invalid entity supplied: %s."
"Invalid entity type.","Invalid entity type."
"Invalid entity_id, skipping the record.","Invalid entity_id, skipping the record."
"Invalid foreign key.","Invalid foreign key."
"Invalid form type.","Invalid form type."
"Invalid joint fields.","Invalid joint fields."
"Joined field with this alias is already declared.","Joined field with this alias is already declared."
"Joint field or attribute expression with this alias is already declared.","Joint field or attribute expression with this alias is already declared."
"Letters (a-z, A-Z) or Numbers (0-9)","Letters (a-z, A-Z) or Numbers (0-9)"
"Saved %d record(s).","Saved %d record(s)."
"The attribute code \'%s\' is reserved by system. Please try another attribute code.","The attribute code \'%s\' is reserved by system. Please try another attribute code."
"The value of attribute ""%s"" must be unique.","The value of attribute ""%s"" must be unique."
"This attribute is used in configurable products.","This attribute is used in configurable products."
"URL","URL"
"Unknown parameter.","Unknown parameter."
"Valid store_id is expected.","Valid store_id is expected."
"Wrong attribute ID.","Wrong attribute ID."
"Wrong attribute group ID.","Wrong attribute group ID."
"Wrong attribute set ID.","Wrong attribute set ID."
"Wrong entity ID.","Wrong entity ID."
"--------------- v 1.4.2.0 2010-12-09 SONU --------------------","////////////////////////////////////////////////////////////////////////"
